CMDLINE /usr/local/opt/python@2/bin/python2.7 test_lib2.py
MEM 88.363281 1543730812.1433
MEM 88.363281 1543730812.2435
MEM 88.363281 1543730812.3486
MEM 88.363281 1543730812.4508
MEM 88.363281 1543730812.5535
MEM 88.363281 1543730812.6541
MEM 88.363281 1543730812.7574
MEM 88.363281 1543730812.8606
MEM 88.363281 1543730812.9610
MEM 88.363281 1543730813.0631
MEM 88.363281 1543730813.1634
MEM 88.363281 1543730813.2638
MEM 88.363281 1543730813.3662
MEM 88.363281 1543730813.4706
MEM 88.363281 1543730813.5757
MEM 88.363281 1543730813.6769
MEM 88.363281 1543730813.7778
MEM 88.363281 1543730813.8781
MEM 88.363281 1543730813.9791
MEM 88.363281 1543730814.0811
MEM 88.363281 1543730814.1844
MEM 88.363281 1543730814.2882
MEM 88.363281 1543730814.3906
MEM 88.363281 1543730814.4927
MEM 88.363281 1543730814.5936
MEM 88.363281 1543730814.6938
MEM 88.363281 1543730814.7941
MEM 88.363281 1543730814.8948
MEM 88.363281 1543730814.9997
MEM 88.363281 1543730815.1038
MEM 88.363281 1543730815.2090
MEM 88.363281 1543730815.3127
MEM 88.363281 1543730815.4166
MEM 88.363281 1543730815.5218
MEM 88.363281 1543730815.6256
MEM 88.363281 1543730815.7271
MEM 88.363281 1543730815.8291
MEM 88.363281 1543730815.9341
MEM 88.363281 1543730816.0386
MEM 88.363281 1543730816.1427
MEM 88.363281 1543730816.2440
MEM 88.363281 1543730816.3446
MEM 88.363281 1543730816.4459
MEM 88.363281 1543730816.5471
MEM 88.363281 1543730816.6481
MEM 88.363281 1543730816.7499
MEM 88.363281 1543730816.8537
MEM 88.363281 1543730816.9539
MEM 88.363281 1543730817.0542
MEM 88.363281 1543730817.1572
MEM 88.363281 1543730817.2607
MEM 88.363281 1543730817.3612
MEM 88.363281 1543730817.4615
MEM 88.363281 1543730817.5667
MEM 88.363281 1543730817.6716
MEM 88.363281 1543730817.7768
MEM 88.363281 1543730817.8774
MEM 88.363281 1543730817.9804
MEM 88.363281 1543730818.0819
MEM 88.363281 1543730818.1860
MEM 88.363281 1543730818.2881
MEM 88.363281 1543730818.3933
MEM 88.363281 1543730818.4946
MEM 88.363281 1543730818.5949
MEM 88.363281 1543730818.6952
MEM 88.363281 1543730818.7958
MEM 88.363281 1543730818.8962
MEM 88.363281 1543730818.9986
MEM 88.363281 1543730819.1000
MEM 88.363281 1543730819.2034
MEM 88.363281 1543730819.3071
MEM 88.363281 1543730819.4122
MEM 88.363281 1543730819.5129
MEM 88.363281 1543730819.6169
MEM 88.363281 1543730819.7201
MEM 88.363281 1543730819.8215
MEM 89.144531 1543730819.9248
MEM 89.160156 1543730820.0276
MEM 89.160156 1543730820.1279
MEM 89.160156 1543730820.2288
MEM 89.160156 1543730820.3302
MEM 89.160156 1543730820.4327
MEM 89.160156 1543730820.5359
MEM 89.160156 1543730820.6380
MEM 89.160156 1543730820.7383
MEM 89.160156 1543730820.8435
MEM 89.160156 1543730820.9442
MEM 89.160156 1543730821.0452
MEM 89.160156 1543730821.1454
MEM 89.160156 1543730821.2501
MEM 89.160156 1543730821.3534
MEM 89.164062 1543730821.4536
MEM 89.164062 1543730821.5559
MEM 89.164062 1543730821.6562
MEM 89.164062 1543730821.7567
MEM 89.164062 1543730821.8620
MEM 89.164062 1543730821.9637
MEM 89.164062 1543730822.0672
MEM 89.164062 1543730822.1699
MEM 89.164062 1543730822.2715
MEM 89.164062 1543730822.3767
MEM 89.164062 1543730822.4815
MEM 89.164062 1543730822.5864
MEM 89.164062 1543730822.6905
MEM 89.164062 1543730822.7934
MEM 89.164062 1543730822.8963
MEM 89.164062 1543730822.9974
